id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
2091,13:41.4,"{""number"":21,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,42,4,"400,000kg"
2093,13:41.5,"{""number"":21,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,t,37:02.0,{},lotty_info,46,4,"40,000kg"
2095,13:41.7,"{""number"":21,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,44,4,"400,000kg"
2098,13:42.9,"{""number"":21,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,43,4,"400,000kg"
2099,13:42.9,"{""number"":21,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,45,4,"400,000kg"
2105,13:44.9,"{""number"":21,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,48,4,"40,000kg"
2106,13:45.4,"{""number"":21,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,t,29:59.7,{},lotty_info,49,4,"40,000kg"
2114,13:48.1,"{""number"":21,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,50,4,"40,000kg"
2130,13:53.7,"{""number"":21,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":false,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,52,4,"40,000kg"
2131,13:54.0,,,,,,f,,{},info,4,4,"{""question"": ""A skateboard weighs?"", ""number"": 22, ""round"": 1, ""topic"": ""Weight"", ""Wwer"": ""34kg"", ""Rwer"": ""3.4kg"", ""pic"": false}"
2140,13:57.7,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,47,4,3.4kg
2145,13:58.8,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,t,37:02.0,{},lotty_info,46,4,3.4kg
2150,14:00.1,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,45,4,3.4kg
2154,14:00.6,"{""number"":22,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,t,14:13.0,{},lotty_info,42,4,Ask Someone Else
2157,14:01.9,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,48,4,3.4kg
2158,14:02.0,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,44,4,3.4kg
2159,14:02.0,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,43,4,3.4kg
2160,14:02.9,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,t,29:59.7,{},lotty_info,49,4,3.4kg
2167,14:04.1,"{""number"":22,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,50,4,3.4kg
2183,14:12.6,"{""number"":22,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":false,""topic"":""Weight"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,52,4,34kg
2184,14:13.0,,,,,,f,,{},info,4,4,Good Luck
2198,14:21.6,"{""number"":22,""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":1,""human"":true,""topic"":""Weight"",""topic_seen"":""Weight""}",,,,,t,14:21.7,{},lotty_info,42,4,45
2199,14:21.7,"{""number"": 22, ""copying"": true, ""score"": 1, ""info_chosen"": ""Topic Score"", ""round"": 1, ""human"": true, ""topic"": ""Weight"", ""topic_seen"": ""NA""}",,,,,f,,{},lotty_info,42,4,3.4kg
2201,14:22.1,,,,,,f,,{},info,4,4,"{""question"": ""A newborn baby weighs?"", ""number"": 23, ""round"": 1, ""topic"": ""Weight"", ""Wwer"": ""34kg"", ""Rwer"": ""3.5kg"", ""pic"": false}"
